id,gtin,upc
"1725874029984x500503704673452000","3030050188486",""
"1725874029984x500503704673452000","3030050188486",""
"1725541159799x556793867044388860","3282770202854",""
"1725541159799x556793867044388860","3282770202854",""
"1725541159799x556793867044388860","3282770202854",""
"1725874029984x500503704673452000","3030050188486",""
"1724754487129x147663486771789820","4005800342578",""
"1724754487129x147663486771789820","4005800342578",""
"1724754487129x147663486771789820","4005800342578",""
"1726667647399x840489258642309100","7630053553746",""
"1726663224113x880721562820935700","5430003838020",""
"1726663105374x164659197577789440","4015566604988",""
"1726663224113x880721562820935700","5430003838020",""
"1726663224113x880721562820935700","5430003838020",""
"1726663105374x164659197577789440","4015566604988",""
"1726662781468x858017954499657700","0810083040394",""
"1726662781468x858017954499657700","0810083040394",""
"1726663105374x164659197577789440","4015566604988",""
"1726674468533x393912305363976200","824968717622",""
"1726662781468x858017954499657700","0810083040394",""
"1726674468533x393912305363976200","824968717622",""
"1726674468533x393912305363976200","824968717622",""
"1726674622913x148356688790421500","4015566018464",""
"1726674622913x148356688790421500","4015566018464",""
"1726674295668x668659683361030100","3558380111252",""
"1726662970976x285345044292960260","0810083046082",""
"1726674295668x668659683361030100","3558380111252",""
"1726662970976x285345044292960260","0810083046082",""
"1727353997974x964227062824435700","7640439761153",""
"1727353997974x964227062824435700","7640439761153",""
"1727169730794x532129639286702100","4008789704474",""
"1727353997974x964227062824435700","7640439761153",""
"1727169730794x532129639286702100","4008789704474",""
"1727872665861x682207931459174400","7640184595164",""
"1727169024538x669173444685594600","4008789713346",""
"1727169730794x532129639286702100","4008789704474",""
"1727872665861x682207931459174400","7640184595164",""
"1727169024538x669173444685594600","4008789713346",""
"1727169024538x669173444685594600","4008789713346",""
"1726674622913x148356688790421500","4015566018464",""
"1727872665861x682207931459174400","7640184595164",""
"1726055733314x902859727093366800","4260022694168",""
"1727169386342x877624262813810700","4008789715302",""
"1726055733314x902859727093366800","4260022694168",""
"1726234201062x583234970854096900","4005556224265",""
